,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
82,1036.901,980.205,942.466,926.847,903.363,964.871,1044.348,1104.082,1182.457,1266.673,1322.481,1356.312,1306.409,1330.867,1385.538,1398.14,1370.391,1309.118,1345.734,1478.851,1450.321,1380.676,1267.07,1140.364
83,1040.334,976.952,937.191,917.003,910.583,943.202,951.109,993.146,1115.115,1211.883,1260.237,1287.752,1257.693,1252.717,1263.433,1263.161,1243.289,1220.232,1314.546,1438.221,1413.696,1353.462,1259.719,1151.222
84,1055.974,985.122,938.448,905.579,890.556,891.058,853.742,850.476,915.953,967.632,1010.674,1045.926,1054.551,1026.357,1006.557,1003.33,1009.901,1022.124,1137.609,1299.786,1292.807,1232.384,1122.422,1001.737
85,918.335,864.111,842.451,834.583,834.889,896.405,1014.52,1084.901,1153.868,1227.313,1276.527,1325.09,1303.247,1317.322,1362.4,1381.265,1361.98,1312.61,1343.706,1469.399,1447.516,1379.06,1258.328,1135.06
86,1032.387,975.06,940.631,924.071,923.964,973.086,1039.992,1105.584,1212.898,1295.423,1341.316,1370.488,1330.204,1366.333,1433.092,1448.673,1415.622,1368.663,1422.16,1546.607,1525.028,1452.949,1328.243,1206.757
87,1107.31,1045.916,1001.818,985.496,986.439,1041.072,1123.588,1184.66,1270.848,1345.649,1395.708,1436.638,1416.69,1447.5,1507.582,1534.36,1508.299,1445.287,1478.932,1594.866,1565.963,1509.135,1390.296,1266.972
88,1158.813,1079.86,1044.247,1020.698,1016.489,1058.806,1120.755,1193.756,1313.261,1402.388,1451.327,1480.16,1446.237,1484.722,1554.201,1564.287,1524.93,1447.581,1481.585,1598.786,1576.572,1517.975,1401.446,1267.592
89,1161.796,1087.702,1039.852,1015.836,1010.991,1053.847,1109.483,1174.954,1299.24,1392.04,1446.603,1482.087,1454.858,1490.057,1549.469,1550.022,1507.158,1437.089,1487.374,1598.33,1565.733,1506.231,1404.232,1281.426
90,1179.943,1107.947,1062.321,1027.643,1008.768,1034.912,1044.154,1055.683,1129.904,1195.038,1230.733,1245.463,1225.175,1226.427,1240.159,1246.251,1225.835,1201.453,1298.454,1442.474,1422.663,1359.255,1258.109,1148.486
91,1052.52,986.856,943.907,921.481,908.746,911.886,861.755,862.274,938.216,1005.056,1052.34,1085.276,1099.386,1106.05,1138.965,1175.234,1189.024,1189.274,1314.979,1459.774,1449.555,1400.044,1292.541,1162.712
